"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"10818","Hong Kong",2020-07-29,190,3002,118,24,1,1591,64,1387,40,1.6,18.5,0.3,0,149,14
"10938","Hungary",2020-07-29,190,4465,9,596,0,3339,8,530,46.2,0.1,5.5,6.2,0,130,126
"11157","Iceland",2020-07-29,190,1861,4,10,0,1823,0,28,545.7,1.2,8.2,2.9,0,139,100
"11231","India",2020-07-29,190,1581963,50294,34955,762,1019735,31706,527273,114.6,3.6,38.2,2.5,0.1,137,128
"11481","Indonesia",2020-07-29,190,104432,2381,4975,74,62138,1599,37319,38.2,0.9,13.6,1.8,0,136,133
"11621","Iran (Islamic Republic of)",2020-07-29,190,298909,2636,16343,196,259116,2097,23450,355.9,3.1,27.9,19.5,0.2,154,156
"11745","Iraq",2020-07-29,190,118300,2968,4603,68,83461,2399,30236,294.1,7.4,75.2,11.4,0.2,138,137
"11932","Ireland",2020-07-29,190,25942,13,1764,0,23364,0,814,525.4,0.3,16.5,35.7,0,137,125
"12114","Israel",2020-07-29,190,68299,2006,491,5,32746,564,35062,789,23.2,405.1,5.7,0.1,139,124
"12178","Italy",2020-07-29,190,246776,288,35129,6,199031,275,12616,408.2,0.5,20.9,58.1,0,157,155
"12386","Jamaica",2020-07-29,190,856,1,10,0,724,0,122,28.9,0,4.1,0.3,0,105,56
"12634","Japan",2020-07-29,190,33382,1266,1001,0,23351,715,9030,26.4,1,7.1,0.8,0,159,142
"12767","Jordan",2020-07-29,190,1187,5,11,0,1049,7,127,11.6,0,1.2,0.1,0,129,26
"12818","Kazakhstan",2020-07-29,190,87664,1472,793,0,57815,1177,29056,466.9,7.8,154.7,4.2,0,125,110
"13008","Kenya",2020-07-29,190,19125,544,311,12,8021,113,10793,35.6,1,20.1,0.6,0,118,105
"13132","Kosovo",2020-07-29,190,7846,194,196,4,4267,138,3383,435.9,10.8,187.9,10.9,0.2,120,103
"13311","Kuwait",2020-07-29,190,65903,754,444,2,56467,786,8992,1543,17.7,210.5,10.4,0,137,99
"13457","Kyrgyzstan",2020-07-29,190,34592,748,1347,18,22296,0,10949,530.2,11.5,167.8,20.6,0.3,120,87
"13578","Lao People's Democratic Republic",2020-07-29,190,20,0,0,0,19,0,1,0.3,0,0,0,0,0,0
"13729","Latvia",2020-07-29,190,1224,4,31,0,1052,0,141,64.9,0.2,7.5,1.6,0,131,98
"13885","Lebanon",2020-07-29,190,4205,182,55,1,1753,43,2397,61.6,2.7,35.1,0.8,0,136,122
"13995","Lesotho",2020-07-29,190,576,71,13,1,141,13,422,26.9,3.3,19.7,0.6,0,20,3
"14043","Liberia",2020-07-29,190,1179,2,72,0,664,18,443,23.3,0,8.8,1.4,0,99,95
"14244","Libya",2020-07-29,190,3222,205,76,9,596,17,2550,46.9,3,37.1,1.1,0.1,62,45
"14402","Liechtenstein",2020-07-29,190,88,1,1,0,85,4,2,231.6,2.6,5.3,2.6,0,0,0
"14557","Lithuania",2020-07-29,190,2043,16,80,0,1643,20,320,75.1,0.6,11.8,2.9,0,129,116
"14716","Luxembourg",2020-07-29,190,6533,158,114,1,4959,104,1460,1043.6,25.2,233.2,18.2,0.2,134,124
"14794","Macao",2020-07-29,190,46,0,0,0,46,0,0,7.1,0,0,0,0,0,0
"14960","Madagascar",2020-07-29,190,10317,213,99,6,7117,504,3101,37.3,0.8,11.2,0.4,0,109,49
"15141","Mainland China",2020-07-29,190,84165,105,4634,0,78957,13,574,5.8,0,0,0.3,0,189,189
"15304","Malawi",2020-07-29,190,3738,29,103,0,1728,61,1907,19.5,0.2,10,0.5,0,65,38
"15445","Malaysia",2020-07-29,190,8956,13,124,0,8612,5,220,27.7,0,0.7,0.4,0,142,129
"15557","Maldives",2020-07-29,190,3567,61,15,0,2554,7,998,659.3,11.3,184.5,2.8,0,97,27
"15698","Mali",2020-07-29,190,2521,1,124,0,1927,8,470,12.4,0,2.3,0.6,0,108,107
"15898","Malta",2020-07-29,190,720,12,9,0,665,0,46,162.9,2.7,10.4,2,0,128,0
"16013","Mauritania",2020-07-29,190,6273,24,156,0,4776,93,1341,134.9,0.5,28.8,3.4,0,71,64
"16227","Mauritius",2020-07-29,190,344,0,10,0,332,0,2,27,0,0.2,0.8,0,123,93
"16349","Mexico",2020-07-29,190,408449,5752,45361,485,314538,6396,48550,316.8,4.5,37.7,35.2,0.4,133,124
"16503","Moldova, Republic of",2020-07-29,190,23947,426,759,6,16785,323,6403,593.6,10.6,158.7,18.8,0.1,128,116
"16683","Monaco",2020-07-29,190,120,3,4,0,105,1,11,307.7,7.7,28.2,10.3,0,38,0
"16742","Mongolia",2020-07-29,190,291,0,0,0,225,0,66,8.9,0,2,0,0,74,0
"16848","Montenegro",2020-07-29,190,3016,67,47,2,931,92,2038,480.3,10.7,324.5,7.5,0.3,120,31
"17012","Morocco",2020-07-29,190,22213,826,334,7,17125,59,4754,60.2,2.2,12.9,0.9,0,129,125
"17165","Mozambique",2020-07-29,190,1748,28,11,0,616,14,1121,5.6,0.1,3.6,0,0,79,11
"17369","MS Zaandam Cruise Ship",2020-07-29,190,9,0,2,0,0,0,7,NA,NA,NA,NA,NA,0,0
"17396","Namibia",2020-07-29,190,1986,69,9,1,104,0,1873,78.2,2.7,73.7,0.4,0,34,0
"17582","Nepal",2020-07-29,190,19273,210,49,0,14021,146,5203,66.1,0.7,17.9,0.2,0,83,55
"17773","Netherlands",2020-07-29,190,53895,248,6166,2,196,0,47533,314.5,1.4,277.4,36,0,145,138
"17911","New Zealand",2020-07-29,190,1560,1,22,0,1514,0,24,32.4,0,0.5,0.5,0,129,103
"18005","Nicaragua",2020-07-29,190,3672,0,116,0,2492,0,1064,55.4,0,16.1,1.8,0,71,71
"18143","Niger",2020-07-29,190,1132,0,69,0,1027,0,36,4.7,0,0.1,0.3,0,117,115
"18361","Nigeria",2020-07-29,190,42208,404,873,5,19004,240,22331,20.5,0.2,10.8,0.4,0,122,109
"18488","North Macedonia",2020-07-29,190,10503,188,476,5,5931,268,4096,504.2,9,196.6,22.9,0.2,129,119
"18614","Norway",2020-07-29,190,9172,22,255,0,8752,0,165,169.2,0.4,3,4.7,0,145,128
"18741","Oman",2020-07-29,190,78569,665,412,10,60240,1653,17917,1538.5,13,350.8,8.1,0.2,125,96
"18892","Pakistan",2020-07-29,190,276288,1063,5892,27,244883,2447,25513,125.1,0.5,11.5,2.7,0,136,125
"19111","Panama",2020-07-29,190,63269,1046,1374,25,37316,1135,24579,1466.3,24.2,569.6,31.8,0.6,132,123
"19304","Papua New Guinea",2020-07-29,190,63,0,1,1,11,0,51,0.7,0,0.6,0,0,0,0
"19398","Paraguay",2020-07-29,190,4866,192,46,1,3169,130,1651,68.2,2.7,23.1,0.6,0,115,90
"19469","Peru",2020-07-29,190,400683,5678,18816,204,280044,3592,101823,1215.2,17.2,308.8,57.1,0.6,134,124
"19781","Philippines",2020-07-29,190,85486,1813,1962,15,26996,379,56528,78,1.7,51.6,1.8,0,137,136
"19881","Poland",2020-07-29,190,44416,512,1694,12,33190,147,9532,117.4,1.4,25.2,4.5,0,137,127
"20007","Portugal",2020-07-29,190,50613,203,1725,3,35875,249,13013,496.4,2,127.6,16.9,0,138,130
"20137","Qatar",2020-07-29,190,110153,273,169,2,106849,246,3135,3823.4,9.5,108.8,5.9,0.1,140,98
"20284","Republic of Korea",2020-07-29,190,14269,18,300,0,13132,63,837,27.8,0,1.6,0.6,0,160,155
"20493","Republic of the Congo",2020-07-29,190,3200,0,54,0,829,0,2317,58,0,42,1,0,105,86
"20659","Romania",2020-07-29,190,48235,1182,2269,30,26446,318,19520,250.7,6.1,101.5,11.8,0.2,137,127
"20753","Russia",2020-07-29,190,827509,5449,13650,167,619204,8095,194655,567,3.7,133.4,9.4,0.1,134,120
"20964","Rwanda",2020-07-29,190,1963,37,5,0,1036,31,922,15.2,0.3,7.1,0,0,116,0
"21133","Saint Kitts and Nevis",2020-07-29,190,17,0,0,0,15,0,2,32.1,0,3.8,0,0,0,0
"21265","Saint Lucia",2020-07-29,190,24,0,0,0,22,0,2,13,0,1.1,0,0,0,0
"21360","Saint Vincent and the Grenadines",2020-07-29,190,52,0,0,0,39,0,13,46.8,0,11.7,0,0,0,0
"21520","San Marino",2020-07-29,190,699,0,42,0,657,0,0,2055.9,0,0,123.5,0,136,133
"21687","Sao Tome and Principe",2020-07-29,190,868,1,15,1,766,7,87,396.3,0.5,39.7,6.8,0.5,85,65
"21832","Saudi Arabia",2020-07-29,190,272590,1759,2816,27,228569,2945,41205,783,5.1,118.4,8.1,0.1,137,120
"21943","Senegal",2020-07-29,190,9961,156,200,2,6655,64,3106,59.5,0.9,18.5,1.2,0,125,86
"22085","Serbia",2020-07-29,190,24892,372,558,7,0,0,24334,284.9,4.3,278.5,6.4,0.1,132,123
